text_headline,text_sentence,bias_label
속보 이틀만에 北 또 도발…합참 “북한 서해상으로 순항미사일 수발 발사”,서울경제 북한이 30일 서해상으로 순항미사일 여러 발을 발사했다. 합동참모본부는 이날 “오늘 오전 7시께 북측이 서해상으로 발사한 미상 순항미사일 수 발을 포착했으며 한미 정보당국이 정밀분석 중에 있다”며 “우리 군은 감시 및 경계를 강화한 가운데 미측과 긴밀하게 공조하고 있으며 북한의 활동을 면밀히 주시하고 있다”고 밝혔다. 북한의 순항미사일 발사는 지난 28일에 이어 이틀 만이다. 합참이 이달 들어 북한이 발사한 순항미사일을 포착해 발표한 것은 3번째다. 북한은 지난 24일 평양 인근에서 서해상으로 신형 전략순항미사일 ‘불화살 3 31’ 여러 발을 발사했고 28일에는 함경남도 신포시 인근 해상에서 불화살 3 31 2발을 발사했다.,0.00021380925938163816
속보 북한 이틀 만에 또 순항미사일 여러발 발사,사진 출처 연합뉴스 북한이 30일 서해상으로 순항미사일 여러 발을 발사했다고 합동참모본부가 발표했다. 합참은 “오전 7시께 북측이 서해상으로 발사한 미상 순항미사일 수 발을 포착했으며 한미 정보당국이 정밀분석 중에 있다”면서 “우리 군은 감시와 경계를 강화하고 미측과 긴밀하게 공조하고 있으며 북한의 활동을 면밀히 주시하고 있다”고 밝혔다. 합참이 이달 들어 북한 순항미사일을 포착해 발표한 것은 이번이 세 번째다. 앞서 북한은 지난 24일 평양 인근에서 서해상으로 신형 전략순항미사일 ‘불화살 3 31’ 여러 발을 발사했고 28일에는 함경남도 신포시 인근 해상에서 불화살 3 31 2발을 발사했다.,0.00021632117949123118
尹 북한은 비이성적 집단…선거 개입 위한 여러 도발 예상,윤석열 대통령은 31일 북한 정권을 “비이성적 집단”으로 규정하면서 “올해 북한의 접경지 도발 무인기 침투 가짜 뉴스 사이버 공격 후방 교란 등 선거 개입을 위한 여러 도발이 예상된다”고 말했다. 윤 대통령은 이날 오전 청와대 영빈관에서 열린 제57차 중앙통합방위회의를 직접 주재했다. 녹색 민방위 재킷 차림을 한 윤 대통령은 “사이버 공격이 국가 기능과 국민 일상을 한순간에 마비시킬 수 있고 가짜 뉴스와 허위 선전 선동으로 사회가 큰 혼란에 빠질 수 있다”며 “오늘 중앙통합방위회의는 이러한 북한의 도발과 위협에 맞서 국민의 안전을 지키기 위한 것”이라고 했다. 중앙통합방위회의는 적 침투 ·도발 등 국가안보 위협에 대비해 민 ·관 ·군 ·경의 주요 직위자들이 한곳에 모여 국가통합방위태세를 점검하고 발전 대책을 논의하는 회의다. 윤 대통령은 지난해 이 회의를 7년 만에 주재한 데 이어 2년 연속 참석했다. 31일 청와대 영빈관에서 열린 제57차 중앙통합방위회의 에 참석한 윤석열 대통령이 모두발언을 하고 있다. 대통령실사진기자단 윤 대통령은 “연초부터 북한 정권은 미사일 발사 서해상 포격 등 도발을 계속하고 있다”며 “민족 개념을 부정한 데 이어 대한민국을 교전 상대국이자 주적으로 못 박았다. 이러한 행위 자체가 반민족 반통일이며 역사에 역행하는 도발이고 위협”이라고 지적했다. 김정은 북한 국무위원장이 지난해 말 노동당 전원회의에서 남북 관계를 동족이 아닌 ‘적대적 교전국’ 관계로 규정하고 대한민국을 주적으로 칭하며 “완전 초토화”를 선언한 것을 두고 한 비판이었다. 윤 대통령은 북한 정권을 겨냥해 “전 세계에서 유일하게 핵 선제 사용을 법제화한 비이성적인 집단”이라며 “상식적인 정권이라면 핵을 포기하고 주민이 살길을 찾겠지만 북한 정권은 오로지 세습 전체주의 정권 유지를 위해 물불을 가리지 않고 있다”고 비판했다. 윤 대통령은 특히 “올해 우리나라는 자유민주주의 정치 시스템 핵심인 중요한 선거를 앞두고 있다”며 “북한 정권은 지난 70년간 대한민국 자유민주주의 시스템 붕괴를 위해 부단히 노력해 왔고 중요 정치 일정이 있는 해에는 늘 사회 교란과 심리전 도발을 감행해 왔다”고 말했다. 그러면서 북한의 이러한 공세가 이번 4월 총선을 앞두고도 사이버 공격 등 여러 양태로 이어질 수 있다며 철저한 대비를 당부했다. 앞서 윤 대통령은 지난 16일 국무회의에서 북한 도발을 “대한민국을 균열시키기 위한 정치 도발 행위”라고 말했다. 윤석열 대통령이 31일 청와대 영빈관에서 열린 제57차 중앙통합방위회의에서 한덕수 국무총리 신원식 국방장관 김명수 합참의장 등과 함께 국기에 경례하고 있다. 연합뉴스 윤 대통령은 군 중심의 전통적 군사안보뿐 아니라 민·관이 합심해 자유민주주의를 지키는 가치안보 강화의 중요성도 강조했다. 윤 대통령은 “국가안보에는 국토방위 및 국민 안전 수호라는 물리적 개념과 자유민주주의 시스템을 지키는 가치적 개념 2개가 있다”며 “두 개념 모두 동전의 양면과 같은 것이기에 안보 위기가 발생하면 민·관·군·경이 협력하는 국가 총력 대비 시스템을 강화해야 한다”고 말했다. 올해 회의는 ‘국민과 함께하는 통합방위’ 시작을 알리는 차원에서 중앙정부와 지방자치단체장 국가정보원 각 군 경찰청 등 외에 국민 참관단도 참석했다. 오후에는 영빈관에서 군 주요지휘관회의를 주재했다. 윤 대통령은 “총선을 앞둔 올해 예상되는 북한의 다각적 도발 가능성에 대비해 도발 시나리오별로 정교한 대비계획을 완비하고 압도적 대응을 통해 북한의 도발 의지를 분쇄해 달라”고 거듭 당부했다. 그러면서 국가 중요시설을 목표로 한 북한의 교란 활동 가능성을 언급하기도 했다. 이어진 각 군 주요 직위자와의 회의에선 북한 도발과 관련한 서북도서 접경지역 도발 등 도발 시나리오별로 군사적 대비태세 보고와 토의가 이어졌다.,0.00022006455800119488
윤 “북한 정권 비이성적 총선 개입 예상”…전쟁설에도 강경,윤석열 대통령이 31일 제57차 중앙통합방위회의를 주재하고 있다. 연합뉴스 윤석열 대통령은 31일 “북한 정권은 전세계에서 유일하게 핵 선제 사용을 법제화한 비이성적 집단”이라고 말했다. 윤 대통령은 미사일 시험발사 등 최근 잇따르는 북한의 긴장 고조 행위에 대해서도 “반민족·반통일 행위이며 역사에 역행하는 도발이고 위협”이라고 비판했다. 윤 대통령은 이날 오전 청와대 영빈관에서 ‘제57차 중앙통합방위회의’를 주재하고 “연초부터 북한 정권은 미사일 발사 서해상 포격 등 도발을 계속하고 있다. 민족 개념을 부정한 데 이어 대한민국을 교전 상대국이자 주적으로 못박았다”며 이렇게 말했다. 중앙통합방위회의는 국가안보 위협에 대비해 민·관·군·경이 통합방위태세를 점검하는 회의로 윤 대통령은 지난해 2월에 이어 2년 연속 참석했다. 윤 대통령은 지난해 현직 대통령으로서는 7년 만에 이 회의를 주재하고 앞으로 매년 초 직접 주재하겠다고 밝힌 바 있다. 이날 회의는 김정은 북한 국무위원장이 지난 연말 남북 관계를 “적대적인 두 국가 관계 전쟁 중에 있는 두 교전국 관계”로 규정하고 새해 들어 서해 해안포 사격 5 6 7일 중거리 탄도미사일 발사 14일 전술핵 탑재 수중 핵어뢰 ‘해일’ 실험 19일 순항미사일 발사 24 28 30일 등 무력 행위를 이어오는 가운데 이뤄졌다. 북한은 지난 30일 발사한 순항미사일이 “화살 2형 발사훈련”이었다고 이날 밝히며 시험발사가 아니라 실전 부대 배치라는 점을 시사하기도 했다. 미국 전문가를 중심으로 한반도 전쟁 위기설이 퍼지는 등 역내 안보 불안이 커지는 가운데 윤 대통령은 이날도 ‘강 대 강’ 목소리를 냈다. 윤 대통령은 “상식적인 정권이라면 핵을 포기하고 주민들이 살길을 찾겠지만 북한 정권은 오로지 세습 전체주의 정권 유지를 위해 물불을 가리지 않고 있다”고 비판했다. 아울러 윤 대통령은 오는 4월 총선에 북한의 개입이 예상된다고 주장했다. 그는 “북한 정권은 중요한 정치 일정이 있는 해엔 늘 사회 교란과 심리전 도발을 감행해왔다”며 “올해는 접경지 도발 무인기 침투 가짜 뉴스 사이버 공격 후방 교란 등 선거 개입을 위한 여러 도발이 예상되고 있다”고 말했다. 윤 대통령은 “사전에 확실하게 차단하는 방안을 현장 의견을 반영해 충실히 강구해야 한다”고 말했다. 윤 대통령은 이날 오후에는 군 주요지휘관회의도 직접 주재하고 “북한의 다각적 도발 가능성에 대비한 압도적 대응을 통해 북한의 도발 의지를 분쇄할 것”을 지시했다고 대통령실은 전했다. 윤 대통령의 대북 강경 발언을 두고 조성렬 북한대학원대학교 초빙교수는 “윤 대통령이 취임 뒤 내건 ‘힘에 의한 평화’는 1년8개월 동안 북한에 미치지도 못했고 오히려 평화가 위협받는 상황”이라며 “불안해하는 국민을 상대로 자기 합리화를 하는 것 같다”고 말했다. 북한의 “여러 도발”을 예상하면서 강력 대응을 강조하는 것은 총선 앞 지지층 결집을 노린 것이라는 풀이도 나온다.,0.0002222200762167119
북한인권증진과장에 김익환,통일부는 김익환 50·사진 전 열린북한방송 대표를 서기관으로 채용해 개방형 직위인 북한인권증진과장에 임명했다고 31일 밝혔다. 북한인권 활동가 출신인 김 과장은 대북 라디오 방송인 열린북한방송 사무총장 및 대표 사단법인 통일아카데미 교육위원 등을 지냈다. 2010년대 후반에는 정치권에 입문해 바른정당 상근 부대변인 바른미래당 서울 구로갑 지역위원회 공동위원장 바른미래당 부대변인 새로운보수당 대변인 등으로 활동했다. 통일부는 또 류우익 전 통일부 장관 보좌관과 홍승표 44 씨를 국립통일교육원 미래세대교육과장으로 임용했다.,0.0002363567727006081
북한 이틀 만에 또 순항미사일 발사…성능 ‘개량’ 노린 듯,합동참모본부는 30일 북한이 서해상으로 순항미사일 수발을 발사했다고 밝혔다. 사진은 지난 28일 잠수함발사전략순항미사일 불화살 3 31형 이 발사되는 장면. 연합뉴스 북한이 30일 서해상으로 순항미사일 여러 발을 발사했다. 지난 28일 전략순항미사일 ‘불화살 3 31형’을 발사한 지 불과 이틀 만이다. 올해 들어 순항미사일 발사만 세 번째다. 합동참모본부는 30일 오전 7시쯤 북한이 서해상으로 발사한 미상 순항미사일 여러 발을 포착했으며 한·미 정보당국이 정밀분석 중에 있다고 밝혔다. 북한 미사일은 남포시 서쪽 육지에서 발사돼 서해 북쪽 바다에 떨어진 것으로 알려졌다. 우리 군은 이번에 발사된 순항미사일이 정상 사거리를 비행한 것으로 추정하고 있다. 북한의 순항미사일인 ‘화살 1형’의 사거리는 1500㎞이고 이를 개량한 ‘화살 2형’은 2000㎞로 추정된다. ‘불화살 3 31형’ 역시 사정거리는 2000㎞대일 것으로 알려져 있다. 이에 따라 이날 발사된 순항미사일은 1500 2000㎞를 비행한 것으로 추정된다. 평양에서 직선거리로 1400㎞ 떨어진 일본 오키나와 미군기지는 ‘불화살 3 31형’의 사정권 안에 있는 것이다. 군은 북한이 지난 28일 ‘불화살 3 31형’을 발사했을 때만 해도 북한이 쏜 순항미사일 사거리가 알려진 성능에 못 미쳤던 것으로 분석했다. 북한은 당시 ‘불화살 3 31형’ 두 발이 각각 7421초 7445초 비행했다고 발표했는데 이를 비행거리로 환산하면 2000㎞에 달한다. 하지만 군은 북한의 이 같은 발표가 과장이며 실제 비행시간과 거리는 이보다 짧았던 것으로 파악했다. 북한이 순항미사일을 자주 발사하는 것은 성능 개량과 발사 플랫폼 다양화를 위한 목적으로 분석된다. 이를 위해 다양한 조건에서 시험발사를 감행한다는 설명이다. 북한은 앞으로도 시험발사를 계속하며 이동식발사대 TEL 해상바지선 탄도미사일잠수함 SSB 김군옥영웅함의 수직발사대 VLS 등으로 다양화할 것으로 보인다. 실제로 북한은 최근 발사 조건과 플랫폼을 각각 달리해 시험발사하고 있다. 지난 24일에는 ‘불 화살 3 31형’을 평양 인근 육상에서 서해상으로 발사했다. 불과 나흘 뒤인 28일에는 똑같은 ‘불화살 3 31형’을 함경남도 신포시 인근 해상에서 시험발사했다. 북한은 플랫폼을 공개하진 않았지만 이 미사일이 수중발사됐으며 ‘ 잠수함발사전략순항미사일 SLCM ’이었다고 주장했다. 다만 북한의 잦은 시험발사가 성능 개량으로 이어지는 것으로 보기 힘들다는 분석도 있다. 일부 전문가들은 북한 전략순항미사일을 ‘ 화살 1형’과 ‘ 화살 2형’ ‘ 화살 3 31형’ 등으로 일일이 구분하는 것이 큰 의미가 없을 정도로 성능 차이가 크지 않다는 설명을 내놓는다. 이번 발사와 관련해 신종우 한국국방안전포럼 사무국장은 “플랫폼 다양화 등의 의도가 있겠지만 일주일에 세 번이나 시험 발사한 것은 과도하다”며 “한국 총선을 겨냥해 정치적 메시지를 전달할 의도도 있을 것”이라고 말했다.,0.00023910549327358187
북한 서해상으로 순항미사일 발사,북한의 잠수함발사 순항미사일 불화살 3 31형 시험발사 모습. 연합뉴스 북한이 30일 오전 서해상으로 순항미사일 여러 발을 발사했다. 합동참모본부는 “오전 7시쯤 북측이 서해상으로 발사한 미상 순항미사일 여러 발을 포착했다 며 한미 정보당국이 정밀분석 중에 있다 고 밝혔다. 이달 들어 북한의 순항미사일 발사가 포착된 것은 이번이 3번째다. 북한은 지난 24일 평양 인근에서 서해상으로 신형 전략순항미사일 불화살 3 31 을 처음으로 시험발사했다. 이어 지난 28일 함경남도 신포시 인근 해상에서 동해상으로 불화살 3 31 2발을 발사했다. 군 당국은 북한이 이날 발사한 순항미사일도 불화살 3 31인 것으로 보고 있다. 발사 장소는 평양 인근 내륙으로 추정된다.,0.000242064555354715
북한 레닌그라드 해방 80주년 영화감상회 개최,평양 조선중앙통신 연합뉴스 조선러시아친선협회와 북한 주재 러시아연방대사관의 공동명의로 지난 29일 평양 대동문영화관에서 레닌그라드완전해방 80주년에 즈음한 영화감상회가 진행됐다고 조선중앙통신이 30일 보도했다. 참가자들은 소련기록영화 레닌그라드에서의 위대한 승리 를 감상했다.,0.0002423970989990941
26개국 대학생들 모의 UN대회서 북한인권 해법 토론,국립통일교육원 정문 연합뉴스 자료사진 xyz yna.co.kr 서울 연합뉴스 하채림 기자 국립통일교육원은 비영리기구 NGO 성통만사 PSCORE 에서 인턴으로 활동하는 26개국 대학·대학원생 45명에게 북한인권을 주제로 글로벌 통일교육 과정을 31일부터 다음달 2일까지 진행한다고 30일 밝혔다. 이번 교육 과정에는 이신화 북한인권 국제협력대사와 정진헌 국립통일교육원 교수가 특강자로 나선다. 다음달 1일에는 모의 유엔 대회를 열어 북한인권 해법을 토론한다. 우수 학생 3명에게는 통일부 장관상을 수여한다. 성통만사 대표 김태훈 변호사 는 유엔 경제사회이사회의 협의기구로 등록된 NGO로 북한인권 개선을 위한 글로벌 캠페인과 탈북 학생 교육지원 활동을 펼치고 있다. 통일교육원의 글로벌 통일교육 과정은 한반도 통일에 관한 국제사회의 이해를 높이고자 2013년 개설됐다. 그동안 주한 외국인 해외 대학생 재외동포 등 2천500여 명이 참가했다.,0.00024376846043196296
김영호 탈북민 성공은 통일 시금석…북한이탈주민의 날 속히 제도화,김영호 통일부장관이 어제 29일 오후 북한이탈주민의 날 제정 관련 민간 단체 간담회에 참석한 모습. 사진 연합뉴스 김영호 통일부 장관이 대한민국에 온 북한이탈주민 성공은 우리 사회의 통일 역량을 가늠하는 시금석이자 북한 주민에게 자유롭고 풍요로운 미래에 대한 희망의 메시지를 주는 일 이라 어제 29일 밝혔습니다. 김 장관은 어제 정부서울청사에서 열린 북한이탈주민의 날 제정 관련 탈북민 단체장 면담 모두발언에서 북한이탈주민의 날 제정은 단순히 국내에 정착해 살아가는 탈북민뿐 아니라 북한 주민에게도 시사하는 바가 매우 크다 고 말했습니다. 앞서 윤석열 대통령은 지난 16일 국무회의에서 북한이탈주민의 날 제정을 추진하라고 지시한 바 있습니다. 김 장관은 오늘 참석자들을 통해 시민사회 등 국민 여론을 적극적으로 수렴하고 신속하게 유관부처와 협의를 거쳐 북한이탈주민의 날을 조속히 제도화하고 매년 의미 있는 행사로 발전시키겠다 고 전했습니다. 한편 간담회에는 김흥광 NK지식인연대 대표 김성민 자유북한방송 대표 원송금 탈북민단체연합 대표 등 탈북민 관련 단체 대표 10여명이 참석했습니다.,0.0002456375054887629
그래픽 최근 북한 순항미사일 발사 일지,서울 연합뉴스 원형민 김민지 기자 북한이 30일 서해상으로 순항미사일 여러 발을 발사했다고 합동참모본부가 발표했다.,0.00024897981190717986
속보 북한 이틀 만에 또 순항미사일 여러 발 발사,사진 뉴스1 북한이 서해상으로 순항미사일 여러 발을 발사했다. 합동참모본부는 30일 이날 오전 7시께 북측이 서해상으로 발사한 미상 순항미사일 수 발을 포착했으며 한미 정보당국이 정밀분석 중에 있다 며 우리 군은 감시 및 경계를 강화한 가운데 미측과 긴밀하게 공조하고 있으며 북한의 활동을 면밀히 주시하고 있다 고 밝혔다. 북한이 순항미사일을 발사한 것은 지난 28일에 이어 이틀 만이다. 합참이 이달 들어 북한이 발사한 순항미사일을 포착해 발표한 것은 이번이 3번째다. 북한은 지난 24일 평양 인근에서 서해상으로 신형 전략순항미사일 불화살 3 31 여러 발을 발사했고 28일에는 함경남도 신포시 인근 해상에서 불화살 3 31 2발을 발사했다.,0.0002545657764156741
북한 또 순항미사일 불화살 발사…일주일 만에 3번 쐈다,앵커 북한이 또 순항미사일을 쐈습니다. 일주일 새 벌써 세번째입니다. 북한이 핵탄두까지 탑재할 수 있는 신형 전략순항미사일 불화살 을 집중적으로 시험 발사하고 있는 걸로 보입니다. 윤샘이나 기자입니다. 기자 북한이 오늘 30일 오전 순항미사일 여러 발을 발사했다고 합동참모본부가 밝혔습니다. 일주일 사이에만 벌써 세번째입니다. 북한은 지난 24일 서해상으로 신형 전략순항미사일 불화살 3 31 을 첫 시험 발사한 이후 나흘 뒤 잠수함 기지가 있는 함경남도 신포에서 동해상으로 같은 불화살 2발을 더 쐈습니다. 그리고 오늘 평양 인근 내륙에서 서해상으로 또 쏜 겁니다. 북한이 같은 종류로 보이는 미사일을 반복해서 쏘는 건 지난해부터 본격 개발 중인 불화살 의 성능 개량에 박차를 가하고 있기 때문이란 분석이 나옵니다. 전문가들은 북한이 육상과 해상 수중 등 장소를 가리지 않고 쏠 수 있는 다목적 전략순항미사일 개발에 목표를 두고 있다고 보고 있습니다. 장영근 한국국가전략연구원 미사일센터장 지상에서 발사하는 거 잠수함에서 발사하는 거 보여줬잖아요. 다양한 플랫폼에서 사용할 수 있는 순항미사일을 시험하고 있다고 보입니다. 우리 군 당국도 눈여겨보고 있습니다. 이성준 합동참모본부 공보실장 정확한 의도에 대해서는 추가 분석이 필요하고요. 저희는 북한의 무기 개발 동향을 지속 추적하고 있다고 말씀드릴 수 있겠습니다. 탄도미사일과 달리 순항미사일 발사는 그 자체로 유엔 안보리 제재 대상은 아닙니다. 다만 핵탄두까지 탑재 가능한 전략순항미사일은 낮은 고도에서 비행해 탐지가 쉽지 않은 북한판 토마호크 미사일로 우리 군 요격망인 킬 체인 까지 위협할 수 있다는 우려가 나오고 있습니다.,0.00026522777147156733
북한 서해로 순항미사일 발사‥이틀 만에 또 도발,정오뉴스 앵커 북한이 오늘 오전 서해상에서 순항미사일 여러 발을 발사했습니다. 동해상에서 순항미사일을 쏜 지 이틀 만인데요. 이달 들어서만 벌써 3차례 순항미사일을 쏘며 성능 개량 시험에 나선 것으로 보입니다. 이덕영 기자입니다. 리포트 북한이 오늘 오전 7시쯤 서해상으로 순항미사일 여러 발을 발사해 우리 군에 포착됐습니다. 이성준 합동참모본부 공보실장 우리 군은 감시 및 경계태세를 강화한 가운데 미측과 긴밀하게 공조하고 있으며 북한의 활동을 면밀히 주시하고 있습니다. 북한의 순항미사일 발사는 지난 28일 이후 이틀 만으로 이달 들어 3번째 발사입니다. 앞서 북한은 지난 24일에는 서해를 향해 지상에서 순항미사일을 쐈습니다. 또 지난 28일에는 동해 신포 일대 앞바다에서 순항미사일을 발사했습니다. 당시 잠수함에서 직접 발사한 것인지 해상 바지선에서 발사한 것인지는 확인되지 않았습니다. 전략핵공격잠수함에서 발사할 수 있는 순항미사일을 시험 중인 것으로 보입니다. 발사 플랫폼을 바꿔가며 동·서해에서 잇따라 순항미사일을 쏘고 있는데 북한이 개발 중인 신형 순항미사일 불화살 3 31의 성능개량을 위한 시험을 계속하고 있는 것으로 분석됩니다. 특히 오늘 쏜 순항미사일은 원 모양 등의 궤도를 그렸던 이전과 달리 1천500 2천km를 정상 비행한 것으로 합참은 보고 있습니다. 순항미사일 발사는 유엔 안보리 제재 대상이 아니어서 북한의 시험발사를 제지할 수 없습니다. 이런 가운데 북한은 소형 핵탄두를 탑재할 수 있는 순항미사일 개발에 적극 나서고 있고 김정은 국무위원장 역시 해군의 핵무장화를 강조하고 있습니다. MBC뉴스 이덕영입니다. MBC 뉴스는 24시간 여러분의 제보를 기다립니다.,0.0003022890498817523
윤 대통령 “북한은 비이성적 집단…선거 앞두고 도발 예상”,앵커 전 세계에서 유일하게 핵무기의 선제 사용을 법제화 한 북한을 향해서 윤석열 대통령이 비이성적 집단이라며 강력하게 비판했습니다. 윤 대통령은 또 4월 총선을 앞두고 북한의 군사 도발과 사이버 공격이 예상된다면서 자유민주체제를 지키기 위한 철저한 대비를 강조했습니다. 정새배 기자의 보도입니다. 리포트 탄도 미사일에 이은 순항 미사일 발사. 북한의 군사적 위협이 고조되는 가운데 윤석열 대통령이 올해도 중앙통합방위회의를 직접 주재했습니다. 윤 대통령은 먼저 북한 정권을 강도 높게 비판했습니다. 전 세계에서 유일하게 핵 선제 사용을 법제화한 비이성적 집단이라는 겁니다. 그러면서 북한이 4월 총선을 겨냥해 도발할 수 있다고 경고했습니다. 윤석열 대통령 북한 정권은 지난 70년 동안 우리 대한민국의 자유 민주주의 시스템을 붕괴시키기 위해 부단히 노력해 왔고 중요한 정치 일정이 있는 해에는 늘 사회 교란과 심리전 그리고 도발을 감행해 왔습니다. 윤 대통령은 군사적 도발과 함께 가짜 뉴스와 사이버 공격도 주요 위협으로 꼽았습니다. 그러면서 이 같은 안보 위기 상황 속에 군경은 물론 민과 관이 협력하는 총력 대비 태세를 갖춰야 한다고 강조했습니다. 윤 대통령은 오후에는 군 주요 지휘관 회의도 주재했습니다. 두 회의 모두 예상되는 북한의 도발 유형별로 대응 태세를 점검하는 방식이었다고 대통령실은 설명했습니다. 오늘 31일 통합방위회의에는 사상 처음으로 접경지 주민 등 국민참관단 11명이 참석했습니다. 안보 문제에 대한 국민적 우려를 불식시키고 협조도 이끌어 내려는 취지로 풀이됩니다. KBS 뉴스 정새배입니다.,0.000323607055708291
속보 북한 이틀 만에 또 순항미사일 여러 발 발사,북한 김정은 잠수함발사순항미사일·핵잠수함 건조 지도 평양 조선중앙통신 연합뉴스 김정은 북한 국무위원장이 지난 28일 잠수함발사순항미사일 SLCM 시험발사를 지도하고 핵잠수함 건조 사업을 둘러봤다고 조선중앙통신이 29일 밝혔다.,0.0003622089760088727
